Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Identificador persistente ARK,Resumo em Inglês,Referência Bibliográfica
"REIS, Thiago Nelson Faria dos",http://lattes.cnpq.br/7902592398426978,"TEIXEIRA, Mário Antônio Meireles||Não informado pela instituição",http://lattes.cnpq.br/9943003955628885||Não informado pela instituição,"TEIXEIRA, Mário Antônio Meireles||SOARES NETO, Carlos de Salles||PAIVA, Anselmo Cardoso de||SILVA, Francisco Airton Pereira da||CASTELO BRANCO, Kalinka Regina Lucas Jaquie",http://lattes.cnpq.br/9943003955628885||http://lattes.cnpq.br/1512846862093142||http://lattes.cnpq.br/6446831084215512||http://lattes.cnpq.br/6100546713818163||http://lattes.cnpq.br/3559042497669898,Sustentabilidade na nuvem: um modelo de eficiência energética em ambientes de computação verde,2024,Universidade Federal do Maranhão (UFMA),UFMA,Brasil,DEPARTAMENTO DE INFORMÁTICA/CCET,PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DA COMPUTAÇÃO (ASSOCIAÇÃO UFMA/UFPI),Ciência da Computação,openAccess,doctoralThesis,emissão de carbono;||computação verde;||computação em nuvem;||eficiência energética;||inteligência artificial.,carbon emission;||green computing;||cloud computing;||energy efficiency;||artificial intelligence.,por,"This thesis explores the growing relevance of cloud computing in everyday life and the business context, emphasizing the importance of proactive approaches to mitigate its environmental impact. Green cloud computing is an initiative aimed at reducing energy consumption and CO2 emissions associated with cloud, without compromising its functionality and performance. The main focus of this work is to evaluate the effectiveness of resource scheduling algorithms in cloud computing data centers and to develop an innovative methodology for calculating energy efficiency scores and classifying energy performance. Using the CloudSim Plus simulation environment, four algorithms - Round Robin (RR), Dynamic Voltage and Frequency Scaling (DVFS), Particle Swarm Optimization (PSO), and Ant Colony System (ACS) - have been compared through 800 simulations. In addition to the simulations, the methodology involved analyzing the data through rigorous statistical techniques, including the use of the T-student table, and creating an energy performance index derived from the results obtained. The research also incorporated artificial intelligence, specifically neural network-based classifiers, to improve the classification of energy levels. The results indicated a significant reduction in energy consumption and CO2 emissions, approximately 55%, and an improvement in the cost-effectiveness of virtual machine allocation, around 28%. This study demonstrates that the adoption of innovative scheduling strategies and the implementation of a quantitative energy evaluation model can significantly optimize cloud computing efficiency. Additionally, the proposal of a new score calculation and the creation of an energy performance scale offer valuable tools for optimization and sustainability in data centers.",https://tedebc.ufma.br/jspui/handle/tede/5704,ark:/70116/00130000006zr,Não informado pela instituição,"REIS, Thiago Nelson Faria dos. Sustentabilidade na nuvem: um modelo de eficiência energética em ambientes de computação verde. 2024. 127 f. Tese Programa de Pós-Graduação em Ciência da Computação (ASSOCIAÇÃO UFMA/UFPI) - Universidade Federal do Maranhão, São Luís, 2024."
Hudson Bonifácio dos Santos,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Uso da inteligência artificial como ferramenta na análise tarifária do consumo de energia elétrica,2025,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Eficiência energética||Inteligência artificial||Gerenciamento de energia||Automação||Indústria||Engenharia elétrica||Engenharia elétrica - Consumo||Engenharia elétrica - Administração||Inteligência artificial,Não informado pela instituição,por,"In the current context of the global energy transition, concerns about energy consumption have become a recurring topic in worldwide discussions. The need for more efficient processes with rational energy use and lower environmental impact drives companies to seek technological solutions to achieve efficient energy consumption. Artificial intelligence is a technology that has been widely applied due to its ability to revolutionize society, with the primary goal of developing solutions that facilitate human-developed processes. This study addresses the use of artificial intelligence as a tool for electricity tariff analysis. A model was developed to evaluate energy bill data from companies, simulating scenarios for demand readjustment, tariff modality, excess reactive energy, and photovoltaic systems as an alternative to optimizing energy consumption. The developed methodology was applied to three companies located in different regions of Brazil. The results indicate that the model demonstrates satisfactory accuracy and precision rates, with the possibility of demand readjustment. Additionally, all analyzed companies showed expenses related to excess reactive energy, meaning costs that could be avoided. The installation of photovoltaic systems was presented as an alternative to reducing energy expenses in the evaluated companies. Thus, it was verified that the developed computational tool effectively contributes to the planning of demand contracting and energy consumption, serving as a basis for managers to understand which actions can be implemented to achieve optimized electricity use.",http://hdl.handle.net/1843/81257,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"FERREIRA, Anderson França",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Aplicando a análise Bow Tie no gerenciamento do risco de perda de eficiência enérgica em um Data Center de uma Instituição Federal de Ensino Superior,2021,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Sistemas de Informação||Data center||Energia||Eficiência energética,Não informado pela instituição,por,"O monitoramento do consumo de energia elétrica nos data centers das Instituições Federais de Ensino Superior é de fundamental importância para o controle dos gastos públicos, pois é, através de respostas rápidas das consequências provenientes do risco da perda da eficiência energética nestes ambientes que auxiliam um atendimento de boa qualidade a população e ao cumprimento das leis e as normas ambientais vigentes. Este trabalho, vem propor o uso de uma metodologia para auxiliar a Gestão na Tomada de Decisões sobre os ativos de um data center através do monitoramento dos equipamentos, e assim, tornando-os eficientes quanto ao consumo de energia elétrica. A pesquisa é baseada na metodologia Bow Tie, que utiliza uma ferramenta visual para auxiliar na Gestão de Riscos de Segurança da Informação observando a norma da ABNT NBR ISO/IEC 27005 de 2019 – Tecnologia da Informação – Técnicas de Segurança – Gestão de Riscos de Segurança da Informação. O levantamento das causas e consequências da perda de eficiência energética foi feito em 15 campi, além da EAD e da Reitoria do Instituto Federal de Pernambuco (IFPE), de acordo com a realidade de cada unidade gestora e respondido pelos representantes da Gestão de Tecnologia da Informação destas unidades. Neste trabalho, foi observado que a metodologia proposta consegue demonstrar os possíveis cenários que envolvem uma tomada de decisão, para se evitar a perda de eficiência energética em um data center do IFPE. De posse dos resultados obtidos da análise das respostas do formulário que foi encaminhado às unidades gestoras do IFPE, verificou-se que a metodologia Bow Tie consegue auxiliar de forma prática, simples e visual, tanto a gestão quanto a eficiência energética de um data center do IFPE, quando comparada a outras metodologias tradicionais fornecendo informações antecipadas para tomada de decisão em momentos críticos.Este trabalho de pesquisa pode, de forma adaptável, ser empregado em outras instituições da Administração Pública Federal ligado à área de Tecnologia da Informação.","FERREIRA, Anderson França. Aplicando a análise Bow Tie no gerenciamento do risco de perda de eficiência enérgica em um data center de uma Instituição Federal de Ensino Superior. 2021. Dissertação (Mestrado em Ciência da Computação) – Universidade Federal de Pernambuco, Recife, 2021.||https://repositorio.ufpe.br/handle/123456789/65170",ark:/64986/001300002jv4w,Não informado pela instituição,Não informado pela instituição
"FERREIRA, Anderson França",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Aplicando a análise Bow Tie no gerenciamento do risco de perda de eficiência enérgica em um Data Center de uma Instituição Federal de Ensino Superior,2021,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Sistemas de Informação||Data center||Energia||Eficiência energética,Não informado pela instituição,por,"O monitoramento do consumo de energia elétrica nos data centers das Instituições Federais de Ensino Superior é de fundamental importância para o controle dos gastos públicos, pois é, através de respostas rápidas das consequências provenientes do risco da perda da eficiência energética nestes ambientes que auxiliam um atendimento de boa qualidade a população e ao cumprimento das leis e as normas ambientais vigentes. Este trabalho, vem propor o uso de uma metodologia para auxiliar a Gestão na Tomada de Decisões sobre os ativos de um data center através do monitoramento dos equipamentos, e assim, tornando-os eficientes quanto ao consumo de energia elétrica. A pesquisa é baseada na metodologia Bow Tie, que utiliza uma ferramenta visual para auxiliar na Gestão de Riscos de Segurança da Informação observando a norma da ABNT NBR ISO/IEC 27005 de 2019 – Tecnologia da Informação – Técnicas de Segurança – Gestão de Riscos de Segurança da Informação. O levantamento das causas e consequências da perda de eficiência energética foi feito em 15 campi, além da EAD e da Reitoria do Instituto Federal de Pernambuco (IFPE), de acordo com a realidade de cada unidade gestora e respondido pelos representantes da Gestão de Tecnologia da Informação destas unidades. Neste trabalho, foi observado que a metodologia proposta consegue demonstrar os possíveis cenários que envolvem uma tomada de decisão, para se evitar a perda de eficiência energética em um data center do IFPE. De posse dos resultados obtidos da análise das respostas do formulário que foi encaminhado às unidades gestoras do IFPE, verificou-se que a metodologia Bow Tie consegue auxiliar de forma prática, simples e visual, tanto a gestão quanto a eficiência energética de um data center do IFPE, quando comparada a outras metodologias tradicionais fornecendo informações antecipadas para tomada de decisão em momentos críticos.Este trabalho de pesquisa pode, de forma adaptável, ser empregado em outras instituições da Administração Pública Federal ligado à área de Tecnologia da Informação.","FERREIRA, Anderson França. Aplicando a análise Bow Tie no gerenciamento do risco de perda de eficiência enérgica em um data center de uma Instituição Federal de Ensino Superior. 2021. Dissertação (Mestrado em Ciência da Computação) – Universidade Federal de Pernambuco, Recife, 2021.||https://repositorio.ufpe.br/handle/123456789/40257",ark:/64986/001300000jj3z,Não informado pela instituição,Não informado pela instituição
"Moreira, Hugo Augusto Marinho",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Controle neuro-fuzzy para eficiência energética de sistemas de abastecimento de água com demanda variável,2020,Universidade Federal da Paraíba (UFPB),UFPB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Eficiência energética||Identificação de sistemas||Automação||Inteligência artificial||Sistemas hidráulicos||Energy efficiency||Systems identification||Automation||Artificial intelligence||Hydraulic system||CNPQ::ENGENHARIAS::ENGENHARIA MECANICA,Não informado pela instituição,por,"This work aims to apply the Neuro-Fuzzy technique for pressure control of a water pumping system with variable demand. The control acts on the variation speed of the motor pump set (CMB) and its main objective is to raise the energy efficiency of the system. The controller were tested in an experimental system of water supply installed at the Energy and Hydraulic Efficiency Laboratory in Sanitation at the Federal University of Paraíba (LENHS / UFPB). The controller is analyzed regarding performance (permanent regime, transient and disturbances) and economy of energy. Therefore, the hourly water demand curve was implemented and indicators hydroenergetics (CMB yield and specific energy consumption coefficient) are used to measure energy efficiency gains. To validate your performance, the designed controller is compared to two other controllers, one being Neural (artificial neural networks) and a Fuzzy. As a way of analyzing and interpreting the operating conditions, non-linear multivariable computational modeling is also performed via artificial intelligence techniques. The developed models contemplate how output variables the yield of the CMB, the pressure and the flow of the system. The results show a significant energy gain from the pumping system, indicated by hydroenergetic indicators. The pressures were kept close to the set-points, with low rise time (ts <7 seconds) and without overshoot; in addition to the excellent stability (error <8%) in severe situations of demand variation. It is concluded that the Neuro-Fuzzy technique guaranteed superior results to the other controllers analyzed.",https://repositorio.ufpb.br/jspui/handle/123456789/18509,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Aguiar, Raphael Alves de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Gestão de infraestrutura em data centers: alocação automatizada de recursos em ambientes virtualizados,2025,Universidade Católica de Brasília (UCB),UCB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Data center||Eficiência energética||Automação||Recursos computacionais||Virtualização||Máquinas virtuais||Sustentabilidade||Data center||Energy efficiency||Automation||Computational resources||Virtualization||Virtual machines||Sustainability||CNPQ::CIENCIAS SOCIAIS APLICADAS::CIENCIA DA INFORMACAO,Não informado pela instituição,por,"A crescente demanda por serviços digitais impulsiona a expansão de data centers, tornando a gestão eficiente de recursos computacionais, como CPU e memória RAM, um desafio crucial, especialmente com a necessidade de práticas sustentáveis e eficiência energética. Esta pesquisa analisou os efeitos da implementação de um sistema automatizado de redimensionamento de recursos em máquinas virtuais (VMs) na eficiência energética, custos e qualidade de serviço em ambientes virtualizados. Para isso, analisou dados de utilização de recursos de CPU e RAM, o impacto do uso de recursos no consumo energético e na pegada de carbono, os efeitos da automação na qualidade de serviço e no cumprimento de acordo de níveis de serviço (SLAs), e os custos operacionais. A metodologia experimental, de abordagem quantitativa, foi aplicada no ambiente de virtualização da Coordenadoria de Data Center da Universidade de Brasília, analisando 660 VMs. Foram utilizadas ferramentas como VMware Aria Operations, Zabbix e VMware Aria Operations for Logs para coletar dados sobre utilização de recursos, consumo energético e métricas de qualidade de serviço, em períodos de 14 dias antes e após a implementação de algoritmos de redimensionamento baseados em inteligência artificial e machine learning. Os resultados demonstraram impactos significativos: a automação reduziu em 64,97% o provisionamento de vCPUs e em 34,09% a memória RAM para 294 VMs, mantendo a qualidade de serviço dentro dos SLAs. Houve uma redução de 32,3% no consumo energético, equivalente a uma economia diária de 3,5477 kWh, resultando em aproximadamente 50 kg de CO₂ podendo ser evitados anualmente. O SLA de disponibilidade manteve-se em 100%, superando o requisito contratual de 99,7%, com estabilidade no tempo de resposta médio. Economicamente, a otimização poderia gerar uma economia anual estimada em R$ 5.327.891,97 em nuvem pública. A pesquisa conclui que sistemas automatizados de redimensionamento de recursos são uma estratégia eficaz para otimizar infraestruturas virtualizadas, comprovando que a automação, quando aplicada com metodologias e tecnologias adequadas, entrega eficiência sem comprometer a qualidade do serviço, conciliando sustentabilidade ambiental, eficiência econômica e excelência operacional em ambientes de data centers.","AGUIAR, Raphael Alves de. Gestão de infraestrutura em data centers: alocação automatizada de recursos em ambientes virtualizados. 2025. 120 f. Dissertação (Programa Stricto Sensu em Governança, Tecnologia e Inovação) - Universidade Católica de Brasília, Brasília, 2025.||https://bdtd.ucb.br:8443/jspui/handle/tede/3705",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Gabrieli Dutra",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Performance and energy efficiency analysis of machine learning algorithms towards green al: a case study of decision tree algorithms,2021,Laboratório Nacional de Computação Científica (LNCC),LNCC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Computação de alto desempenho||Eficiência energética||Algoritmos (Computação)||Aprendizado por computador||CNPQ::CIENCIAS EXATAS E DA TERRA::CIENCIA DA COMPUTACAO::TEORIA DA COMPUTACAO,Não informado pela instituição,eng,"Artificial Intelligence (AI) is one of the most transformative forces today, achieving surprising results for solving problems in several application domains. These results are largely due to the use of the high computational capacity offered by HPC environments, which at the same time require a lot of energy for their functioning. Besides, energy consumption is responsible for greenhouse gas emissions, of which CO2 is the most significant. Machine Learning (ML) algorithms are generally evaluated and developed in terms of predictive performance. Little is known about its computational requirements and energy consumption, which has become an important task in achieving greener computing. The objective of this work is to evaluate the computational performance and energy efficiency of ML algorithms, specifically Decision Tree algorithms, to find solutions that can contribute to a GreenAI. Is evaluated the relations between: i) computational performance and energy efficiency when the algorithms are executed with different datasets, to analyze the influence of the number of examples and attributes on the performance and energy consumption; ii) energy efficiency and predictive performance, to assess the impact of the different parameter settings of the algorithms on energy consumption and, consequently, on the CO2 equivalent emission linked to their execution. Also, the parts of the code that consume the most energy are evaluated, what we call energy hotspots in this work.","Silva, G. D. Performance and energy efficiency analysis of machine learning algorithms towards green al: a case study of decision tree algorithms. 2021. 96 f. Dissertação (Programa de Pós-Graduação em Modelagem Computacional) - Laboratório Nacional de Computação Científica, Petrópolis, 2021.||https://tede.lncc.br/handle/tede/337",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"VALE, Kádna Maria Alves Camboim",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Analysis of dependability and sustainability requirements to support the deployment of dense data center architectures,2020,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Engenharia Elétrica||Data center||Computação em nuvem||Avaliação de dependabilidade||Sustentabilidade||Análise de sensibilidade||Eficiência energética,Não informado pela instituição,eng,"VALE, Kádna Maria Alves Camboim também é conhecida em citações bibliográficas por: CAMBOIM, Kádna Maria Alves","VALE, Kádna Maria Alves Camboim. Analysis of dependability and sustainability requirements to support the deployment of dense data center architectures. 2020. Tese (Doutorado em Engenharia Elétrica) – Universidade Federal de Pernambuco, Recife, 2020.||https://repositorio.ufpe.br/handle/123456789/39365",ark:/64986/0013000006fp7,Não informado pela instituição,Não informado pela instituição
"Lemes, Vinicius Gustavo de Jesus Ferreira, 1985-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Análise da eficiência da geração de energia elétrica em placas solares, a partir da interferência da temperatura sobre a placa : Analysis of the efficiency of electrical energy generation on solar panels, from the interference of temperature on the plate",2023,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Tecnologia||Energia solar||Eficiência energética||Technology||Solar energy||Energy efficiency,Não informado pela instituição,por,"Orientadores: Luísa Andréia Gachet, Marco Valério de Albuquerque Vinagre","https://hdl.handle.net/20.500.12733/17261||LEMES, Vinicius Gustavo de Jesus Ferreira. Análise da eficiência da geração de energia elétrica em placas solares, a partir da interferência da temperatura sobre a placa: Analysis of the efficiency of electrical energy generation on solar panels, from the interference of temperature on the plate. 2023. 1 recurso online (48 p.) Dissertação (mestrado) - Universidade Estadual de Campinas, Faculdade de Tecnologia e Universidade da Amazônia - UNAMA , Limeira, SP. Disponível em: 20.500.12733/17261. Acesso em: 29 set. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Santos, Cássio Marques Moquedace dos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Inteligência artificial aplicada à dimensão pedológica global para modelar, mapear e compreender interações biota-solo-clima e dinâmicas do carbono orgânico",2025,Universidade Federal de Viçosa (UFV),UFV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Aprendizado de máquina||Fungos do solo||Respiração do solo||Raízes (Botânica)||Estrutura do solo||CIENCIAS AGRARIAS::AGRONOMIA::CIENCIA DO SOLO,Não informado pela instituição,por,"O solo é um componente central da biosfera terrestre, sustentando funções ecológicas críticas como a produção de alimentos, a regulação de ciclos biogeoquímicos e o sequestro de carbono. Entretanto, sua complexidade funcional, especialmente nos compartimentos subterrâneos, tem sido historicamente negligenciada em modelos globais de carbono. Essa lacuna é particularmente crítica diante das mudanças climáticas, que podem converter o solo de sumidouro a fonte de carbono. Neste contexto, objetivou-se com esta pesquisa desenvolver uma abordagem funcional e explicável, baseada em inteligência artificial, para modelar e compreender a dinâmica do carbono orgânico do solo (SOC) em escala global, com foco nos preditores biológicos: fungos, raízes e respiração. A pesquisa foi estruturada em quatro artigos, todos ancorados no uso do algoritmo quantile random forest (QRF) como estratégia de modelagem preditiva. Essa abordagem permitiu não apenas estimar valores medianos com robustez, mas também quantis e intervalos de incerteza. O primeiro investigou a distribuição global da biodiversidade fúngica do solo, utilizando dados da base GSM e algoritmos de machine learning; o segundo mapeou traços funcionais de raízes a partir de bancos de dados globais integrados; o terceiro quantificou as taxas atuais e futuras de respiração do solo (Rs e Rh) e seus preditores edafoclimáticos; e o quarto integrou variáveis edáficas, biológicas e climáticas em um modelo explicável de SOC, utilizando valores de Shapley, curvas de dependência parcial e mapas de dominância funcional para a interpretação dos resultados. Os resultados revelaram que a distribuição de fungos mostrou-se altamente heterogênea, com baixa representatividade em regiões tropicais e áridas, onde sua diversidade ou especialização funcional é mais crítica. As raízes apresentaram forte controle sobre a estruturação da rizosfera e a ciclagem de nutrientes, com destaque para a colonização micorrízica como preditor-chave em regiões tropicais. A modelagem da respiração evidenciou o papel moderador da textura do solo: argilas protegeram o SOC e amorteceram as respostas ao aquecimento, enquanto solos arenosos acentuaram a vulnerabilidade climática. Finalmente, os modelos de SOC revelaram interações não lineares e contextuais entre biota, clima e solo, com padrões espaciais distintos de dominância preditiva. Os achados evidenciaram a fragilidade de modelos tradicionais que ignoram a biota do solo e dependem unicamente de proxies climáticos ou vegetacionais baseados em sensoriamento remoto. A introdução de variáveis funcionais e abordagens explicáveis permitiu revelar hierarquias e sinergias entre os fatores que controlam o carbono, apontando para um novo paradigma metodológico: o Soil-Informed Machine Learning. Os resultados mostraram que as condições que promovem o acúmulo de SOC em certos contextos (e.g., alta colonização micorrízica em solos argilosos úmidos) podem ter efeitos opostos em outros (e.g., solos arenosos secos). Evidenciou-se também que as incertezas da modelagem estão fortemente associadas à sub-representação de dados em regiões críticas, como zonas tropicais, boreais e semiáridas. Esta pesquisa amplia o entendimento sobre a dimensão pedoecológica do carbono no solo, ao integrar processos subterrâneos, interações biológicas e conhecimento edafológico em modelos globalmente consistentes e interpretáveis. A inteligência artificial explicável mostrou-se uma ferramenta promissora para decifrar relações complexas e orientar políticas mais robustas de conservação e mitigação. No entanto, avanços duradouros dependerão da consolidação de bancos de dados harmonizados, de protocolos de ciência aberta e da valorização institucional do solo como componente central das estratégias climáticas globais. Palavras-chave: aprendizado de máquina; pedometria; fungos do solo; traços radiculares; respiração do solo.","SANTOS, Cássio Marques Moquedace dos. Inteligência artificial aplicada à dimensão pedológica global para modelar, mapear e compreender interações biota-solo-clima e dinâmicas do carbono orgânico. 2025. 25 f. Tese (Doutorado em Solos e Nutrição de Plantas) - Universidade Federal de Viçosa, Viçosa. 2025.||https://locus.ufv.br/handle/123456789/34449||https://doi.org/10.47328/ufvbbt.2025.262",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
