base;titulo.x;ano.x;autores;desc_1;desc_2;link_de_acesso;link;titulo.y;temas;ano.y;local_defesa;instituicao;parser_usado;motivo_na
BDTD;Inteligência artificial e seu impacto no desenvolvimento do pensamento crítico;2022;Sayad, Alexandre Le Voci;x;NA;https://bdtd.ibict.br/vufind/Record/PUC_SP-1_ce5664e3ad44b3244c1ad19469a54c1d;https://bdtd.ibict.br/vufind/Record/PUC_SP-1_ce5664e3ad44b3244c1ad19469a54c1d;Inteligência artificial e seu impacto no desenvolvimento do pensamento crítico;;NA;inédita - por isso ocupa hoje papel relevante no debate em políticas públicas no mundo todo;;bdtd_vufind;NA
BDTD;Máquinas aprendizes;;;;;;;;;;;;;
BDTD;MODELAGEM DE UM CIRCUITO DE TERMOSSIFÃO DE BAIXO IMPACTO AMBIENTAL COM APLICAÇÃO EM RESFRIAMENTO DE ELETRÔNICOS;2021;VERONICA DA ROCHA WEAVER;NA;x;https://bdtd.ibict.br/vufind/Record/PUC_RIO-1_b43b785eae71411439a85bea6984ee0c;https://bdtd.ibict.br/vufind/Record/PUC_RIO-1_b43b785eae71411439a85bea6984ee0c;[pt] MODELAGEM DE UM CIRCUITO DE TERMOSSIFÃO DE BAIXO IMPACTO AMBIENTAL COM APLICAÇÃO EM RESFRIAMENTO DE ELETRÔNICOS;;NA;de atender às necessidades térmicas da indústria atual;;bdtd_vufind;NA
BDTD;Analysis of dependability and sustainability requirements to support the deployment of dense data center architectures;2020;VALE, Kádna Maria Alves Camboim;NA;x;https://bdtd.ibict.br/vufind/Record/UFPE_2d33854954818a1e85ab9a2681946052;https://bdtd.ibict.br/vufind/Record/UFPE_2d33854954818a1e85ab9a2681946052;Analysis of dependability and sustainability requirements to support the deployment of dense data center architectures;;NA;NA;;bdtd_vufind;NA
BDTD;Reduzindo o consumo de energia do Hadoop 3.x MapReduce através do energy efficient ethernet;2022;Dias, Jorgi Luiz Bolonhezi;NA;x;https://bdtd.ibict.br/vufind/Record/UFPR_3372fdca8e82d82d3fdfe1ebc9a123aa;https://bdtd.ibict.br/vufind/Record/UFPR_3372fdca8e82d82d3fdfe1ebc9a123aa;Reduzindo o consumo de energia do Hadoop 3.x MapReduce através do energy efficient ethernet;;NA;NA;;bdtd_vufind;NA
BDTD;Energy-efficient virtual network function placement based on metaheuristic approaches;2020;Mosaiyebzadeh, Fatemeh;NA;x;https://bdtd.ibict.br/vufind/Record/USP_8589f7ba91ec44e294a14df751e4e53c;https://bdtd.ibict.br/vufind/Record/USP_8589f7ba91ec44e294a14df751e4e53c;Energy-efficient virtual network function placement based on metaheuristic approaches;;NA;ment based on metaheuristic approachesPosicionamento de funções virtuais de rede com eficiência energética utilizando abordagens metaheurísticasCloud computingComputação em nuvemEficiência energéticaEncadeamento de funções de serviçoEnergy efficiencyNetwork functions virtualizationService function chainingVirtualização de funções de redeConcerns about reducing energy consumption in the sector of Information and Communication Technology has increasingly motivated the transition of traditional services to the clouds;;bdtd_vufind;NA
BDTD;Uma abordagem híbrida para alterar o design típico de data center;2023;Storti, Gabriel José,;NA;x;https://bdtd.ibict.br/vufind/Record/UNICAMP-30_2c616acd0c8cd04ce415ca457a43ff00;https://bdtd.ibict.br/vufind/Record/UNICAMP-30_2c616acd0c8cd04ce415ca457a43ff00;Uma abordagem híbrida para alterar o design típico de data center;;NA;NA;;bdtd_vufind;NA
BDTD;O impacto da mineração de lítio sobre a diversidade e funções ecossistêmicas desempenhadas por besouros rola-bosta;2025;Silva, Fernanda de Sá da;NA;x;https://bdtd.ibict.br/vufind/Record/UFV_be4e798a1b7114ef30a4754b173b71e0;https://bdtd.ibict.br/vufind/Record/UFV_be4e798a1b7114ef30a4754b173b71e0;O impacto da mineração de lítio sobre a diversidade e funções ecossistêmicas desempenhadas por besouros rola-bosta;;NA;NA;;bdtd_vufind;NA
BDTD;Influência de diferentes concentrações do rejeito da mineração do lítio sobre a emergência e o desenvolvimento de quatro espécies de leguminosas forrageiras;2023;Scutari, Victor de Paula;NA;x;https://bdtd.ibict.br/vufind/Record/UFV_8cc4f8d4c7b351ca3240b6696bd2682e;https://bdtd.ibict.br/vufind/Record/UFV_8cc4f8d4c7b351ca3240b6696bd2682e;Influência de diferentes concentrações do rejeito da mineração do lítio sobre a emergência e o desenvolvimento de quatro espécies de leguminosas forrageiras;;NA;NA;;bdtd_vufind;NA
BDTD;Efeito do rejeito de mineração de lítio e déficit hídrico no crescimento inicial e parâmetros fotossintéticos em Dimorphandra exaltata Schott;2023;Rocha, Ana Carolina Martins;NA;x;https://bdtd.ibict.br/vufind/Record/UFV_320ad02aafe768f48c6912bf0d03650a;https://bdtd.ibict.br/vufind/Record/UFV_320ad02aafe768f48c6912bf0d03650a;Efeito do rejeito de mineração de lítio e déficit hídrico no crescimento inicial e parâmetros fotossintéticos em Dimorphandra exaltata Schott;;NA;NA;;bdtd_vufind;NA
